FAB1	sce:YFR019W
TTI1	sce:YKL033W
TOS8	sce:YGL096W
GBP2	sce:YCL011C
NSE3	sce:YDR288W
TCO89	sce:YPL180W
QRI7	sce:YDL104C
CRM1	sce:YGR218W
CAX4	sce:YGR036C
NA	sce:YDR109C
DUT1	sce:YBR252W
APC11	sce:YDL008W
SCM3	sce:YDL139C
DDL1	sce:YOR022C
RGL1	sce:YPL066W
HAL1	sce:YPR005C
LAM1	sce:YHR155W
PRP11	sce:YDL043C
FMP46	sce:YKR049C
ARB1	sce:YER036C
CDC45	sce:YLR103C
SHB17	sce:YKR043C
SMX3	sce:YPR182W
MEK1	sce:YOR351C
SUR1	sce:YPL057C
LCB4	sce:YOR171C
SUP45	sce:YBR143C
YRB1	sce:YDR002W
NA	sce:YDR541C
ERG4	sce:YGL012W
NA	sce:YGR053C
CAB1	sce:YDR531W
NA	sce:YAL037C-A
HTB1	sce:YDR224C
CCA1	sce:YER168C
