Gene Symbol	hsa:ENTREZ_GENE_ID
IFNE	hsa:338376
ND6	hsa:4541
SPAG11A	hsa:10407
SREK1IP1	hsa:285672
THRSP	hsa:7069
CXorf36	hsa:79742
MAGEA10-MAGEA5	hsa:4104
FBXL19-AS1	hsa:283932
POLE4	hsa:56655
ND3	hsa:4537
PDZK1IP1	hsa:10158
FAM27E2	hsa:100131997
BCRP3	hsa:644165
TAL2	hsa:6887
INSL3	hsa:3640
SYCP3	hsa:50511
TMIE	hsa:259236
MUCL1	hsa:118430
ATL2	hsa:64225
LINC00189	hsa:193629
KLHL35	hsa:283212
ZNF354B	hsa:117608
FOXC1	hsa:2296
FLJ25694	hsa:100128202
TRIM43	hsa:129868
TRIM42	hsa:287015
FSIP1	hsa:161835
MGC15705	hsa:84843
FAM98B	hsa:283742
EFCAB13	hsa:124989
FAM71B	hsa:153745
C10orf107	hsa:219621
LOC101929373	hsa:150159
WEE2-AS1	hsa:285962
TCTEX1D1	hsa:200132
TMCO5A	hsa:145942
PPARGC1B	hsa:133522
XKR6	hsa:286046
TSGA13	hsa:114960
C9orf163	hsa:158055
SYNE3	hsa:161176
CCDC141	hsa:285025
HDX	hsa:139324
CDYL2	hsa:124359
C18orf54	hsa:162681
SYT14	hsa:255928
CDC20B	hsa:166979
TECTB	hsa:6975
VWA3A	hsa:146177
LINC00896	hsa:150197
HUS1B	hsa:135458
NPB	hsa:256933
CCDC34	hsa:91057
LRCH3	hsa:84859
INTS4	hsa:92105
ENAH	hsa:55740
STK35	hsa:140901
LRRIQ3	hsa:127255
KLC4	hsa:89953
TIPRL	hsa:261726
VKORC1L1	hsa:154807
PRF1	hsa:5551
FBXL14	hsa:144699
PPIL6	hsa:285755
SP1	hsa:6667
C18orf25	hsa:147339
METTL6	hsa:131965
SGOL1	hsa:151648
B3GALNT2	hsa:148789
CBR4	hsa:84869
PIK3C2A	hsa:5286
NLRX1	hsa:79671
ZNF569	hsa:148266
CCSAP	hsa:126731
DUSP18	hsa:150290
ZNF697	hsa:90874
ZNF791	hsa:163049
CHRM3	hsa:1131
HTRA4	hsa:203100
LINC00525	hsa:84847
PRPF38A	hsa:84950
FAM218A	hsa:152756
RHEBL1	hsa:121268
FAM195A	hsa:84331
KCTD7	hsa:27342
ZNF548	hsa:147694
AMER2	hsa:219287
RNF152	hsa:220441
GPR97	hsa:222487
ZNF644	hsa:84146
TBC1D32	hsa:221322
B4GALNT3	hsa:283358
LRRC43	hsa:254050
CEP89	hsa:84902
AK7	hsa:122481
ZFC3H1	hsa:196441
IRAK2	hsa:3656
LINC00337	hsa:148645
METTL21A	hsa:151194
OTOGL	hsa:283310
MGC16025	hsa:85009
FAM76B	hsa:143684
SPATA25	hsa:128497
NXNL1	hsa:115861
GLIS3-AS1	hsa:84850
IQCG	hsa:84223
MCM9	hsa:254394
PRR14L	hsa:253143
AJUBA	hsa:84962
KLHL32	hsa:114792
DCBLD1	hsa:285761
SLAMF9	hsa:89886
GK5	hsa:256356
FLJ31715	hsa:152048
UBE2U	hsa:148581
WBSCR27	hsa:155368
LINC00638	hsa:196872
ZC3HAV1L	hsa:92092
RASGEF1B	hsa:153020
C11orf45	hsa:219833
C21orf58	hsa:54058
KIAA1109	hsa:84162
STOML3	hsa:161003
LINC01105	hsa:150622
FBXL13	hsa:222235
FAM227B	hsa:196951
DTD2	hsa:112487
SOX3	hsa:6658
SPATA32	hsa:124783
C3orf49	hsa:132200
NKX2-3	hsa:159296
TMEM252	hsa:169693
KIAA1524	hsa:57650
FAM222A-AS1	hsa:84983
TLE6	hsa:79816
TCEANC	hsa:170082
LOC102725315	hsa:25812
HECTD4	hsa:283450
RTP1	hsa:132112
PRR35	hsa:146325
NXPE1	hsa:120400
CYP1B1-AS1	hsa:285154
MAGEA2	hsa:4101
APOBEC3D	hsa:140564
LINC00315	hsa:246704
COL6A5	hsa:256076
PGAM5	hsa:192111
C4orf45	hsa:152940
CCDC149	hsa:91050
BEND2	hsa:139105
C10orf67	hsa:256815
SPERT	hsa:220082
CCDC26	hsa:137196
C21orf88	hsa:114041
SPIC	hsa:121599
VPS13B	hsa:157680
P2RY10	hsa:27334
IGSF22	hsa:283284
